Topic,Count,Name,Representation
-1,1179,-1_print_printer_ink_quality,"print; printer; ink; quality; use; easy; good; great; work; get"
0,486,0_product_work_great_easy,"product; work; great; easy; price; good; use; recommend; service; set"
1,140,1_set_easy_great_quality,"set; easy; great; quality; print; price; printer; purchase; use; several"
2,133,2_ink_last_save_long,"ink; last; save; long; money; printer; cartridge; much; buy; love"
